Period No.;Period Name ;Section Type;Section Title ;Industry Partner / Exercises;Estimated Runtime - min;Estimated Time of completion ;Comments ;
1;Introduction to course and Solar Energy ;Introduction video ;Introduction to the course + overall structure;;00:05:00;;This is the first and only time the students get the intro to the class - how is it structured, what are the sections and what they are expected to do. ;
;Introduction to course and Solar Energy ;Lecture video;From manpower to solarpower - a short history of energy ;;00:05:00;;Use MaxxSolar section M1.01 (1-7);
;Introduction to course and Solar Energy ;Quiz ;Quiz 1.1;;00:02:00;;;
;Introduction to course and Solar Energy ;Lecture video;Carbon emissions and the need for sustainable energy sources ;;00:05:00;;Use MaxxSolar section M1.01 (8-22);
;Introduction to course and Solar Energy ;Quiz ;Quiz 1.2;;00:02:00;;;
;Introduction to course and Solar Energy ;Lecture video;Solar PV - the sustainable alternative ;;00:05:00;;Use MaxxSolar section M1.01 (23-33);
;Introduction to course and Solar Energy ;Quiz ;Quiz 1.3;;00:02:00;;;
;Introduction to course and Solar Energy ;Placeholder - diverse tasks ;IP provider - Interview with a Solar Association (BSW, NSEFI, etc.);;00:15:00;;;
;Introduction to course and Solar Energy ;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:43:00;;;
2;Solar PV - challenge and opportunity ;Introduction video ;Introduction;;00:02:00;;;
;Solar PV - challenge and opportunity ;Lecture video;Solar energy as viable alternative ;;00:05:00;;Use MaxxSolar M2-02;
;Solar PV - challenge and opportunity ;Quiz ;Quiz 2.1;;00:02:00;;;
;Solar PV - challenge and opportunity ;Placeholder - diverse tasks ;Inhouse Video on importance of Solar Including some content from IP such as Sunotec or SMA ;;00:20:00;;;repetition of formulas - guided exercises 
;Solar PV - challenge and opportunity ;Lecture video;Solar Energy Market - future outlook;;00:05:00;;Use MaxxSolar M2 -03 (1-20);
;Solar PV - challenge and opportunity ;Quiz ;Quiz 2.2;;00:02:00;;;
;Solar PV - challenge and opportunity ;Lecture video;Solar PV - practical applications ;;00:05:00;;Use MaxxSolar M2-03 (21-30);
;Solar PV - challenge and opportunity ;Quiz ;Quiz 2.3;;00:02:00;;;
;Solar PV - challenge and opportunity ;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:45:00;;;
3;Key Electrical Concepts - 1;Introduction video ;Introduction to the section;;00:02:00;;This section outlines the main concepts ; 
;Key Electrical Concepts - 1;Lecture video;Electricity;Setup of a simple circuit;00:05:00;;Use MaxxSolar M3-01 ;
;Key Electrical Concepts - 1;Quiz ;Quiz 3.1;;00:02:00;;;
;Key Electrical Concepts - 1;Lecture video;Potential Difference ;Introduction to use of multimeters;00:05:00;;;
;Key Electrical Concepts - 1;Quiz ;Quiz 3.2;;00:02:00;;;
;Key Electrical Concepts - 1;Lecture video;Current;Measurement of current;00:05:00;;Use MaxxSolar M3-03;
;Key Electrical Concepts - 1;Quiz ;Quiz 3.3;;00:02:00;;;
;Key Electrical Concepts - 1;Introduction video ;Introduction of Lex solar boxes and exercises : Introduction to use of multimeters, Measurement of voltage, Measurement of current;;00:20:00;;Introduction to the LexSolar briefcase and the concept of exercises ;
;Key Electrical Concepts - 1;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:45:00;;;
4;Key  Electrical Concepts - 2 - PART A ;Introduction video ;Introduction to this section ;;00:02:00;;This section looks pretty big - we need to find a solution how to balance it ;
;Key  Electrical Concepts - 2 - PART A ;Lecture video;Power;Ohm„s law;00:05:00;;Use MaxxSolar M3 - 04;
;Key  Electrical Concepts - 2 - PART A ;Quiz ;Quiz 4.1 ;;00:02:00;;;
;Key  Electrical Concepts - 2 - PART A ;Placeholder - diverse tasks ;Lex Solar Exercises: Setup of a simple circuit - Motor rotation;;00:15:00;;;
;Key  Electrical Concepts - 2 - PART A ;Lecture video;Energy ;Parallel connection of ohmic resistances;00:05:00;;Use MaxxSolar M3 - 05;
;Key  Electrical Concepts - 2 - PART A ;Quiz ;Quiz 4.2;;00:02:00;;;
;Key  Electrical Concepts - 2 - PART A ;Lecture Video;Frequency;;00:05:00;;Additional content - John to provide;
;Key  Electrical Concepts - 2 - PART A ;Quiz ;Quiz 4.3;;00:02:00;;;
;Key  Electrical Concepts - 2 - PART A ;Lecture video;Power and Energy ;;00:05:00;;Use MaxxSolar M3 - 06;
;Key  Electrical Concepts - 2 - PART A ;Quiz ;Quiz 4.4;;00:02:00;;;
;Key  Electrical Concepts - 2 - PART A ;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:47:00;;;
5;Key  Electrical Concepts - 2 - PART B;Introduction video ;Introduction to the section;;00:02:00;;;
;Key  Electrical Concepts - 2 - PART B;Lecture video;Kirchoff's law ;;00:05:00;;Additional content - John to provide;
;Key  Electrical Concepts - 2 - PART B;Quiz ;Quiz 5.1 ;;00:02:00;;;
;Key  Electrical Concepts - 2 - PART B;Lecture video;Electrical protections ;;00:05:00;;Additional content - John to provide;
;Key  Electrical Concepts - 2 - PART B;Quiz ;Quiz 5.2 ;;00:02:00;;;
;Key  Electrical Concepts - 2 - PART B;Lecture video;Integrating the Key concepts - application to solar system ;;00:05:00;;Use MaxxSolar M3 - 08;
;Key  Electrical Concepts - 2 - PART B;Quiz ;Quiz 5.3;;00:02:00;;;
;Key  Electrical Concepts - 2 - PART B;Placeholder - diverse tasks ;Lex solar exercises:  Ohm's Law, Series connection of ohmic resistances, Parallel connection of ohmic resistances;;00:20:00;;;
;Key  Electrical Concepts - 2 - PART B;Summary Video;Summary Video;;00:02:00;;;
;;;;;00:45:00;;;
6;key  Electrical Concepts - 2 - PART C;Introduction video ;Introduction to the section;;00:02:00;;;
;key  Electrical Concepts - 2 - PART C;Lecture video;AC and DC Power ;;00:05:00;;Use MaxxSolar M3 - 09 or IP content ;
;key  Electrical Concepts - 2 - PART C;Quiz ;Quiz 6.1;;00:02:00;;;
;key  Electrical Concepts - 2 - PART C;Lecture video;Series and Parallel Connections ;IP Showing an inverter on site with an explaination?;00:05:00;;Additional content - John to provide;
;key  Electrical Concepts - 2 - PART C;Quiz ;Quiz 6.2;;00:02:00;;;
;key  Electrical Concepts - 2 - PART C;Placeholder - diverse tasks ;Lex Solar exercises: Series and parallel connection of solar cells (quantitative), exercises - application of concepts to the solar system;;00:20:00;;;
;key  Electrical Concepts - 2 - PART C;Quiz ;Quiz 6.3;;00:02:00;;;
;key  Electrical Concepts - 2 - PART C;Lecture video;Electricity transmission and distribution;Series and parallel connection of solar cells (quantitative);00:05:00;;Additional content - John to provide;
;key  Electrical Concepts - 2 - PART C;Quiz;Quiz 6.4;;00:02:00;;;
;key  Electrical Concepts - 2 - PART C;Summary Video;Summary Video;Overall review of all concepts discussed ;00:02:00;;;
;;;;;00:47:00;;;
7;Solar PV technology - PART A ;Introduction video ;Introduction to the section;;00:02:00;;;
;Solar PV technology - PART A ;Lecture video;Technology of PV;;00:05:00;;Use MaxxSolar M4 - 01;
;Solar PV technology - PART A ;Quiz ;Quiz 7.1;;00:02:00;;;
;Solar PV technology - PART A ;Lecture video;Solar panels - production process ;IP about module maufacturing;00:05:00;;Use MaxxSolar M4 - 02;
;Solar PV technology - PART A ;Placeholder - diverse tasks ;IP : Solar manufacturing;;00:20:00;;;
;Solar PV technology - PART A ;Quiz ;Quiz 7.2;;00:02:00;;;
;Solar PV technology - PART A ;Lecture video;Photovoltaic Effect ;Starting and running current of a motor;00:05:00;;Use MaxxSolar M4 - 03;
;Solar PV technology - PART A ;Quiz ;Quiz 7.3;;00:05:00;;;
;Solar PV technology - PART A ;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:48:00;;;
8;Solar PV technology - PART B;Introduction video ;Introduction to the section;;00:02:00;;;
;Solar PV technology - PART B;Lecture video;Components of Solar Module ;;00:05:00;;Use MaxxSolar M4 - 04, M4 - 06;
;Solar PV technology - PART B;Quiz ;Quiz 8.1;;00:02:00;;;
;Solar PV technology - PART B;Placeholder - Diverse tasks ;IP Content -  Reiling ;;00:20:00;;;
;Solar PV technology - PART B;Lecture video;Solar module - Lifetime and Recycling aspects ;;00:05:00;;Use MaxxSolar M4 - 05;
;Solar PV technology - PART B;Quiz ;Quiz 8.2;;00:02:00;;;
;Solar PV technology - PART B;Distinction between Solar PV and Solar Thermal;TBD;;00:05:00;;;
;Solar PV technology - PART B;Quiz ;Quiz 8.3;;00:02:00;;;
;Solar PV technology - PART B;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:45:00;;;
9;Energy Storage ;Introduction video ;Introduction to this section ;;00:02:00;;;
;Energy Storage ;Lecture video;How to store energy generate by PV modules ;IP battery storage;00:05:00;;Use MaxxSolar M5 - 02 ;
